Gewerk,Stadtteil,Betrieb / Firma,Adresse,Telefon,Sterne / Bew.,Maps Link,Website,Website  Link,gemachte website  link
Heizung/Sanitär,Lurup,M. Wulf Heizungsbau & Sanitär & Klempnerei,Kressenweg 8,040 8005700,keine,https://maps.app.goo.gl/7UosZukQnqqFUcFo6,Konkurenz,https://sanitaerfinden.com/55199-m-wulf-heizungsbau-und-sanitartechnik-klempnerei,
Elektriker,Lurup,CKP Elektroservice,Grandkuhlenweg 3,040 8891660,keine,https://maps.app.goo.gl/aT4sDEKBefgY6Gvi9,Logistische Probleme,http://www.ckp-elektroservice.de/,
Fliesenleger,Lurup,Fliesenleger Bernd Joachim Strauch,Flaßbarg 63A,040 8314100,keine,https://maps.app.goo.gl/CbjuiShxScehD2vX7,Konkurenz,https://fliesenleger.io/7291-mateo-handwerker-fliesen-malen,
Fliesen/Boden,Lurup,"FPB Fliesen-, Platten- u. Bodenleger",Barlskamp 15,0176 45679601,keine,https://maps.app.goo.gl/3baEzGuda4ppJsRf8,Konkurenz,https://bodenlegerfinden.com/16703-fpb-fliesen-platten-und-bodenleger,
Maler,Lurup,Holger Vollmers Malereibetrieb,Rugenbarg 48,040 805466,keine,https://maps.app.goo.gl/ey6QhkdTjGASzq977,Keine Website,,
Sanitär,Lurup,Hans Tolg Sanitärtechnik GmbH,Sprützmoor 91,040 841638,"5,0 (1)",https://maps.app.goo.gl/u2gNWCY2fprDdzYe7,Keine Website,,
Sanitär,Lurup,AnDo Haustechnik GmbH,Kornblumenweg 6,040 84002211,"5,0 (1)",https://maps.app.goo.gl/rg2NjxxJMiTHnrGy6,Konkurenz,https://sanitaerfinden.com/55230-ando-haustechnik-gmbh,
Maler,Lurup,U+P Malermeisterbetrieb,Jevenstedter Str. 159a,–,"5,0 (1)",https://maps.app.goo.gl/VmCEZQhJTxW98RTW8,Gute Website / Schlechte präsenz,https://upmalerhh.wixsite.com/my-site,
Fliesenleger,Lurup,Fliesenleger Elias – Komplettsanierung,Friedrichshulder Weg 10,0176 84486706,"5,0 (1)",https://maps.app.goo.gl/RniywygNncWTETGW7,Keine Website,,
GaLaBau,Lurup,Reinhard Schäfer GrünBau GmbH,Gockelstieg 20b,0176 16029003,"5,0 (1)",https://maps.app.goo.gl/FwEEVwctwz35J7488,Keine Website,,
GaLaBau,Lurup,Die Gartenprofis Hamburg (Galabau Tom),Farnhornweg 58A,0152 15209356,"5,0 (1)",https://maps.app.goo.gl/swwxvign7h6dU8LE7,Keine Website,,
Maler,Lurup,Maler Uzun Hamburg,Fangdieckstr. 153,040 83210303,"5,0 (2)",https://maps.app.goo.gl/6fbgtAuRJtE3PpmD8,Alte Website,http://maleruzun.de/kontakt/,
Elektriker,Lurup,Kurt Jensen Elektroanlagen GmbH,Am Barls 267,040 83932007,"4,5 (2)",https://maps.app.goo.gl/WwY6fumBAscgad73A,Alte Website,http://jensen-gmbh.com/,
Dachdecker,Lurup,Helms Bedachung,Luruper Hauptstr. 216,040 84056990,"3,0 (2)",https://maps.app.goo.gl/FmpZJ6X1ZZhPU2uQ7,Alte Website,https://www.helms-bedachung.de/,
Bau/Sanierung,Lurup,Baugeschäft Alexander Ruge,Flurstr. 165,040 88173991,"5,0 (3)",https://maps.app.goo.gl/U23dsvBW7wEykE4f9,Alte Website,http://www.baugeschaeft-ruge.de/,
GaLaBau,Lurup,Prodan Garten- u. Landschaftsbau,Ohlestr. 34,0157 75228760,"5,0 (3)",https://maps.app.goo.gl/2xxak65c4AYNsbhKA,Logistische Probleme,https://www.prodan-handwerk.de/,
Maler (seit 19. Jh.),Lurup,Gerhard Schulz GmbH,Flaßbarg 53,040 836518,"4,0 (4)",https://maps.app.goo.gl/bc5NMKYe7KaoBPD66,Alte Website,https://www.malerschulzgmbh.de/,
Elektriker,Lurup,Erich Albertsen,Böttcherkamp 120,040 834160,"3,8 (4)",https://maps.app.goo.gl/dSisewCNt3He2no78,Konkurenz,https://elektrikerportal.com/15009-erich-albertsen,
Maler/Putz,Lurup,M-R-Malermeister GmbH,Voßkoppel,0172 5479946,"4,0 (4)",https://maps.app.goo.gl/y1RAaNNH3CKnSEi96,Konkurenz,https://malerfinder.de/11555-m-r-malermeister-gmbh,
Sanitär/Heizung,Osdorf,AO Sanitär & Heizungstechnik GmbH,Bornheide 82,0176 24556658,keine,https://maps.app.goo.gl/jwgTUFUGCfJHeM8f9,Gute Website / Schlechte präsenz,https://ao-sanitaer-heizungstechnik.de/,
Maler,Osdorf,Geisler Theodor e.K. (Inh. Feldnick),Brandstücken 33,040 892781,"5,0 (2)",https://maps.app.goo.gl/rBhaS1Sn15mMna959,Alte Website,https://nilsfeldnick.de/,
Heizung/Sanitär,Osdorf,Heizungs- & Sanitärtechnik C. H. Groth,Am Osdorfer Born 110,040 78894012,"5,0 (3)",https://maps.app.goo.gl/C7rgkKPazG8JRPgK8,Alte Website,https://www.groth-sanitaer.de/,
Maler,Osdorf,Bohnhof Malereibetrieb,Osdorfer Weg 85,040 8904112,"5,0 (4)",https://maps.app.goo.gl/9pVKFRfUm8Nm3ZbGA,Konkurenz,https://malerfinder.de/11588-bohnhof-malereibetrieb-mit-hamburger-familiensiegel,
Sanitär/Heizung,Osdorf,Sanitär- u. Heizungstechnik Frerix GmbH,Tietzestr. 23,040 876566,"5,0 (4)",https://maps.app.goo.gl/TfyY7BPjJDgLJTwp9,Logistische Probleme,http://www.heizung-sanitaer-hamburg.de/,
Sanitär/Heizung,Osdorf,Sanitär & Heizung Olaf Schwengler,Am Osdorfer Born 42B,040 804121,"5,0 (5)",https://maps.app.goo.gl/eQJk9utFoPr5BpyH7,Konkurenz,https://sanitaerfinden.com/55229-sanitar-heizung-olaf-schwengler,
Elektriker,Osdorf,Elektro Diehn GmbH,Ottensener Str. 18,040 381401,"4,2 (5)",https://maps.app.goo.gl/5D1erBTrAHAZbX288,Alte Website,https://www.elektro-diehn.de/,
Elektriker,Eidelstedt,Elektrotechnik FIDAN,Pinneberger Chaussee 74,040 33495160,keine,https://maps.app.goo.gl/x44u26sSY4oXp85bA,Keine Website,,
Dachdecker,Eidelstedt,Jürgen Haffke,Haseldorfer Weg 51,040 578133,"5,0 (1)",https://maps.app.goo.gl/66d852Vd2xqoXXSp6,Keine Website,,
Maler,Eidelstedt,AJW Malerwerkstatt,Baumacker 3A,040 5711138,"5,0 (1)",https://maps.app.goo.gl/RCwqvmvvafrYKUxk8,Alte Website,https://ajw-hamburg.de/werkstaetten/malerwerkstatt/,
Dachdecker,Eidelstedt,Elb Bedachung,Fuchsienweg 6A,040 84302717,"5,0 (3)",https://maps.app.goo.gl/LENZ9sfYpuKLQsDs6,Alte Website,http://www.elbbedachung.de/,
Dachdecker,Eidelstedt,Markus Wiese Dachdeckermeister,Olloweg 92,040 5709330,"5,0 (3)",https://maps.app.goo.gl/KxszwDmx5xGsCySx5,Alte Website,http://www.hamburgs-dachdecker.de/,
